Hour,SoC,Reward,Loss
0,0.50372744,-0.6587015,0.20050602452064314
1,0.55372745,-0.5077006,0.1773326081187362
2,0.5707031,-0.613837,0.19316552296885486
3,0.5796197,-0.64093935,0.19756136784211117
4,0.54498726,-0.7971279,0.2251580993280213
5,0.5949873,-0.5077006,0.1773326081187362
6,0.6335491,-0.54334575,0.1824278581611112
7,0.6568332,-0.5928956,0.18987296049053076
8,0.7068332,-0.5077006,0.1773326081187362
9,0.7568332,-0.5077006,0.1773326081187362
10,0.753873,-0.6821452,0.20443489202424697
11,0.7572211,-0.6600237,0.2007248308339205
12,0.73034245,-0.7683605,0.21975414344607944
13,0.73161,-0.6672919,0.20193354837862465
14,0.76659757,-0.55467016,0.1841034250677156
15,0.8165976,-0.5077006,0.1773326081187362
16,0.86659753,-0.5077006,0.1773326081187362
17,0.84065324,-0.7649214,0.21911766883971504
18,0.86836,-0.5783559,0.18764134449314507
19,0.8890898,-0.6013459,0.19119052298279815
20,0.9029913,-0.62412864,0.19481706561311363
21,0.87468517,-0.7736258,0.2207325810304348
22,0.8624733,-0.71504885,0.2101225845462893
23,0.5,-0.7616993,0.21852321140836284
